Index,Formatted Author(s) and Year,Publication Year,Citation Count,Journal Name,Article Title,Additional Data,Full Citation
1,G Charness et al. (2009),2009,931,Econometrica,Incentives to exercise,,"G Charness, U Gneezy (2009). Incentives to exercise. Econometrica."
2,A Falk (2007),2007,571,Econometrica,Gift exchange in the field,,A Falk (2007). Gift exchange in the field. Econometrica.
3,JL Spenkuch et al. (2023),2023,85,Econometrica,Ideology and performance in public organizations,,"JL Spenkuch, E Teso, G Xu (2023). Ideology and performance in public organizations. Econometrica."
4,D Acemoglu et al. (2011),2011,379,Econometrica,The economics of labor coercion,,"D Acemoglu, A Wolitzky (2011). The economics of labor coercion. Econometrica."
5,D Ariely et al. (2009),2009,2473,American Economic Review,Doing good or doing well? Image motivation and monetary incentives in behaving prosocially,,"D Ariely, A Bracha, S Meier (2009). Doing good or doing well? Image motivation and monetary incentives in behaving prosocially. American economic review."
6,JT Kolstad (2013),2013,343,American Economic Review,Information and quality when motivation is intrinsic: Evidence from surgeon report cards,,JT Kolstad (2013). Information and quality when motivation is intrinsic: Evidence from surgeon report cards. American Economic Review.
7,D Sliwka (2007),2007,583,American Economic Review,Trust as a signal of a social norm and the hidden costs of incentive schemes,,D Sliwka (2007). Trust as a signal of a social norm and the hidden costs of incentive schemes. American Economic Review.
8,R Bénabou et al. (2006),2006,4905,American Economic Review,Incentives and prosocial behavior,,"R Bénabou, J Tirole (2006). Incentives and prosocial behavior. American economic review."
9,R Bénabou et al. (2006),2006,1,American Economic Review,American Economic Association,,"R Bénabou, J Tirole (2006). American Economic Association. The American Economic Review."
10,J Ifcher et al. (2011),2011,410,American Economic Review,Happiness and time preference: The effect of positive affect in a random-assignment experiment,,"J Ifcher, H Zarghamee (2011). Happiness and time preference: The effect of positive affect in a random-assignment experiment. American Economic Review."
11,A Falk et al. (2006),2006,1490,American Economic Review,The hidden costs of control,,"A Falk, M Kosfeld (2006). The hidden costs of control. American Economic Review."
12,E Duflo et al. (2012),2012,1297,American Economic Review,Incentives work: Getting teachers to come to school,,"E Duflo, R Hanna, SP Ryan (2012). Incentives work: Getting teachers to come to school. American economic review."
13,C Leaver et al. (2021),2021,105,American Economic Review,"Recruitment, effort, and retention effects of performance contracts for civil servants: Experimental evidence from Rwandan primary schools",,"C Leaver, O Ozier, P Serneels, A Zeitlin (2021). Recruitment, effort, and retention effects of performance contracts for civil servants: Experimental evidence from Rwandan primary schools. American economic review."
14,EP Lazear (2000),2000,4054,American Economic Review,Performance pay and productivity,,EP Lazear (2000). Performance pay and productivity. American Economic Review.
15,J Angrist et al. (2009),2009,609,American Economic Review,The effects of high stakes high school achievement awards: Evidence from a randomized trial,,"J Angrist, V Lavy (2009). The effects of high stakes high school achievement awards: Evidence from a randomized trial. American economic review."
16,CE Landry et al. (2010),2010,209,American Economic Review,Is a donor in hand better than two in the bush? Evidence from a natural field experiment,,"CE Landry, A Lange, JA List, MK Price (2010). Is a donor in hand better than two in the bush? Evidence from a natural field experiment. American Economic …."
17,B Bartling et al. (2012),2012,174,American Economic Review,"Screening, competition, and job design: Economic origins of good jobs",,"B Bartling, E Fehr, KM Schmidt (2012). Screening, competition, and job design: Economic origins of good jobs. American Economic Review."
18,F Schilbach (2019),2019,273,American Economic Review,Alcohol and self-control: A field experiment in India,,F Schilbach (2019). Alcohol and self-control: A field experiment in India. American economic review.
19,C Prendergast (NA),NA,12,American Economic Review,The Motivation and Bias of Bureaucrats,,C Prendergast (NA). The Motivation and Bias of Bureaucrats. NA.
20,R Gibson et al. (2013),2013,343,American Economic Review,Preferences for truthfulness: Heterogeneity among and within individuals,,"R Gibson, C Tanner, AF Wagner (2013). Preferences for truthfulness: Heterogeneity among and within individuals. American Economic Review."
21,E Duflo et al. (2001),2001,0,American Economic Review,American Economic Association,,"E Duflo, R Hanna, SP Ryan (2001). American Economic Association. … American Economic …."
22,G Georgiadis et al. (2022),2022,8,American Economic Review,A/b contracts,,"G Georgiadis, M Powell (2022). A/b contracts. American Economic Review."
23,D Huffman et al. (2022),2022,123,American Economic Review,Persistent overconfidence and biased memory: Evidence from managers,,"D Huffman, C Raymond, J Shvets (2022). Persistent overconfidence and biased memory: Evidence from managers. American Economic Review."
24,T Lane et al. (2023),2023,44,American Economic Review,Law and norms: Empirical evidence,,"T Lane, D Nosenzo, S Sonderegger (2023). Law and norms: Empirical evidence. American Economic Review."
25,R Jayaraman et al. (2016),2016,54,American Economic Review,Anatomy of a contract change,,"R Jayaraman, D Ray, F De Véricourt (2016). Anatomy of a contract change. American Economic Review."
26,F Huang et al. (2010),2010,64,American Economic Review,Applicant screening and performance-related outcomes,,"F Huang, P Cappelli (2010). Applicant screening and performance-related outcomes. American Economic Review."
27,RM Campos-Vazquez et al. (2016),2016,11,American Economic Review,Does corruption affect cooperation? A laboratory experiment,,"RM Campos-Vazquez, LA Mejia (2016). Does corruption affect cooperation? A laboratory experiment. Latin American Economic Review."
28,RC Merton (1998),1998,684,American Economic Review,Applications of option-pricing theory: twenty-five years later,,RC Merton (1998). Applications of option-pricing theory: twenty-five years later. The American Economic Review.
