2024-08-29 15:24:49.606 | INFO     | __main__:main:16 - Initializing the literature search
2024-08-29 15:24:49.606 | DEBUG    | src.file_handling:load_src_file:10 - Loading source file
2024-08-29 15:24:49.665 | INFO     | __main__:main:22 - Starting literature search
2024-08-29 15:24:49.667 | INFO     | __main__:main:25 - Processing journal American Economic Journal: Applied Economics
2024-08-29 15:24:51.334 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Long-Term Effects of Temporary Incentives on Productivity in Medical Care Clinics
2024-08-29 15:24:51.634 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Medium-and long-term educational consequences of alternative conditional cash transfer designs: Experimental evidence from Colombia
2024-08-29 15:24:52.684 | INFO     | src.scholar:search_google_scholar:133 - Found 6 results for journal American Economic Journal: Applied Economics
2024-08-29 15:24:52.685 | INFO     | __main__:main:25 - Processing journal American Economic Journal: Economic Policy
2024-08-29 15:24:55.116 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany
2024-08-29 15:24:57.964 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Moral suasion and economic incentives: Field experimental evidence from energy demand
2024-08-29 15:24:59.758 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The behavioralist goes to school: Leveraging behavioral economics to improve educational performance
2024-08-29 15:25:02.038 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1)
2024-08-29 15:25:03.851 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Will there be blood? Incentives and displacement effects in pro-social behavior
2024-08-29 15:25:04.869 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use
2024-08-29 15:25:08.445 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Payment choice, image motivation and contributions to charity: evidence from a field experiment
2024-08-29 15:25:11.038 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program
2024-08-29 15:25:13.030 | INFO     | src.scholar:search_google_scholar:133 - Found 8 results for journal American Economic Journal: Economic Policy
2024-08-29 15:25:13.031 | INFO     | __main__:main:25 - Processing journal American Economic Journal: Macroeconomics
2024-08-29 15:25:15.468 | INFO     | src.scholar:search_google_scholar:133 - Found 0 results for journal American Economic Journal: Macroeconomics
2024-08-29 15:25:15.469 | INFO     | __main__:main:25 - Processing journal American Economic Review
2024-08-29 15:25:16.905 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Doing good or doing well? Image motivation and monetary incentives in behaving prosocially
2024-08-29 15:25:22.185 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Information and quality when motivation is intrinsic: Evidence from surgeon report cards
2024-08-29 15:25:23.704 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Trust as a signal of a social norm and the hidden costs of incentive schemes
2024-08-29 15:25:24.688 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Incentives and prosocial behavior
2024-08-29 15:25:26.203 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for American Economic Association
2024-08-29 15:25:30.339 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Happiness and time preference: The effect of positive affect in a random-assignment experiment
2024-08-29 15:25:36.620 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The hidden costs of control
2024-08-29 15:25:37.403 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Incentives work: Getting teachers to come to school
2024-08-29 15:25:39.539 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Recruitment, effort, and retention effects of performance contracts for civil servants: Experimental evidence from Rwandan primary schools
2024-08-29 15:25:54.700 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Performance pay and productivity
2024-08-29 15:25:58.586 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for The effects of high stakes high school achievement awards: Evidence from a randomized trial
2024-08-29 15:26:00.246 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Is a donor in hand better than two in the bush? Evidence from a natural field experiment
2024-08-29 15:26:01.738 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Screening, competition, and job design: Economic origins of good jobs
2024-08-29 15:26:02.700 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Alcohol and self-control: A field experiment in India
2024-08-29 15:26:04.759 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Preferences for truthfulness: Heterogeneity among and within individuals
2024-08-29 15:26:05.740 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for American Economic Association
2024-08-29 15:26:07.944 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for A/b contracts
2024-08-29 15:26:21.369 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Persistent overconfidence and biased memory: Evidence from managers
2024-08-29 15:26:23.593 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Law and norms: Empirical evidence
2024-08-29 15:26:30.566 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Anatomy of a contract change
2024-08-29 15:26:37.957 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Applicant screening and performance-related outcomes
2024-08-29 15:26:38.888 | DEBUG    | src.scholar:search_google_scholar:89 - Downloading PDF for Does corruption affect cooperation? A laboratory experiment
