2024-08-30 13:16:40.173 | INFO     | scholar_wizard.search.index:search:93 - Starting literature search
2024-08-30 13:16:40.174 | INFO     | scholar_wizard.search.index:search:100 - Processing journal American Economic Journal: Applied Economics (1/25)
2024-08-30 13:16:50.824 | INFO     | scholar_wizard.search.utils:search_google_scholar:47 - Found 6 results
2024-08-30 13:16:50.825 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Long-run effects of temporary incentives on medical care productivity
2024-08-30 13:17:31.964 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Long-Term Effects of Temporary Incentives on Productivity in Medical Care Clinics
2024-08-30 13:17:32.123 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Medium-and long-term educational consequences of alternative conditional cash transfer designs: Experimental evidence from Colombia
2024-08-30 13:17:33.181 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Reducing child mortality in the last mile: experimental evidence on community health promoters in Uganda
2024-08-30 13:17:36.433 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Incentivizing safer sexual behavior: evidence from a lottery experiment on HIV prevention
2024-08-30 13:17:37.664 | INFO     | scholar_wizard.search.index:search:100 - Processing journal American Economic Journal: Economic Policy (2/25)
2024-08-30 13:17:39.839 | INFO     | scholar_wizard.search.utils:search_google_scholar:47 - Found 8 results
2024-08-30 13:17:39.840 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany
2024-08-30 13:17:41.731 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Moral suasion and economic incentives: Field experimental evidence from energy demand
2024-08-30 13:17:43.188 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for The behavioralist goes to school: Leveraging behavioral economics to improve educational performance
2024-08-30 13:17:44.889 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1)
2024-08-30 13:17:48.478 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Will there be blood? Incentives and displacement effects in pro-social behavior
2024-08-30 13:17:50.543 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use
2024-08-30 13:17:52.419 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Payment choice, image motivation and contributions to charity: evidence from a field experiment
2024-08-30 13:17:57.318 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program
2024-08-30 13:17:58.570 | INFO     | scholar_wizard.search.index:search:100 - Processing journal American Economic Journal: Macroeconomics (3/25)
2024-08-30 13:18:01.063 | INFO     | scholar_wizard.search.utils:search_google_scholar:47 - Found 0 results
2024-08-30 13:18:01.068 | INFO     | scholar_wizard.search.index:search:100 - Processing journal American Economic Review (4/25)
2024-08-30 13:18:03.381 | INFO     | scholar_wizard.search.utils:search_google_scholar:47 - Found 28 results
2024-08-30 13:18:03.382 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Doing good or doing well? Image motivation and monetary incentives in behaving prosocially
2024-08-30 13:18:05.295 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Information and quality when motivation is intrinsic: Evidence from surgeon report cards
2024-08-30 13:18:06.170 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Trust as a signal of a social norm and the hidden costs of incentive schemes
2024-08-30 13:18:06.843 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Incentives and prosocial behavior
2024-08-30 13:18:08.354 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for American Economic Association
2024-08-30 13:18:10.943 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Happiness and time preference: The effect of positive affect in a random-assignment experiment
2024-08-30 13:18:13.041 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for The hidden costs of control
2024-08-30 13:18:13.695 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Incentives work: Getting teachers to come to school
2024-08-30 13:18:15.338 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Recruitment, effort, and retention effects of performance contracts for civil servants: Experimental evidence from Rwandan primary schools
2024-08-30 13:18:17.232 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Performance pay and productivity
2024-08-30 13:18:20.585 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for The effects of high stakes high school achievement awards: Evidence from a randomized trial
2024-08-30 13:18:22.004 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Is a donor in hand better than two in the bush? Evidence from a natural field experiment
2024-08-30 13:18:23.194 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Screening, competition, and job design: Economic origins of good jobs
2024-08-30 13:18:24.210 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Alcohol and self-control: A field experiment in India
2024-08-30 13:18:25.781 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Preferences for truthfulness: Heterogeneity among and within individuals
2024-08-30 13:18:26.710 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for American Economic Association
2024-08-30 13:18:35.208 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for A/b contracts
2024-08-30 13:18:37.793 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Persistent overconfidence and biased memory: Evidence from managers
2024-08-30 13:18:39.346 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Law and norms: Empirical evidence
2024-08-30 13:18:45.196 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Anatomy of a contract change
2024-08-30 13:18:47.517 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Applicant screening and performance-related outcomes
2024-08-30 13:18:48.259 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Does corruption affect cooperation? A laboratory experiment
2024-08-30 13:18:49.396 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Applications of option-pricing theory: twenty-five years later
2024-08-30 13:18:51.442 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Pride and prejudice: The human side of incentive theory
2024-08-30 13:18:52.062 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Information and the Change in the Paradigm in Economics
2024-08-30 13:18:59.591 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for The rise of noncommunicable diseases in Latin America and the Caribbean: challenges for public health policies
2024-08-30 13:19:00.891 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for The productivity of Colombian public schools and its determinants from a value-added perspective, 2014–2019
2024-08-30 13:19:03.486 | INFO     | scholar_wizard.search.index:search:100 - Processing journal Econometrica (5/25)
2024-08-30 13:19:05.299 | INFO     | scholar_wizard.search.utils:search_google_scholar:47 - Found 4 results
2024-08-30 13:19:05.300 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Incentives to exercise
2024-08-30 13:19:06.048 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Gift exchange in the field
2024-08-30 13:19:06.490 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Ideology and performance in public organizations
2024-08-30 13:19:06.796 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for The economics of labor coercion
2024-08-30 13:19:07.957 | INFO     | scholar_wizard.search.index:search:100 - Processing journal Economic Policy (6/25)
2024-08-30 13:19:09.654 | INFO     | scholar_wizard.search.utils:search_google_scholar:47 - Found 28 results
2024-08-30 13:19:09.655 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Extrinsic and intrinsic motivations for tax compliance: Evidence from a field experiment in Germany
2024-08-30 13:19:14.708 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Moral suasion and economic incentives: Field experimental evidence from energy demand
2024-08-30 13:19:16.119 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for The behavioralist goes to school: Leveraging behavioral economics to improve educational performance
2024-08-30 13:19:16.996 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Payment choice, image motivation and contributions to charity: evidence from a field experiment
2024-08-30 13:19:18.341 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Will there be blood? Incentives and displacement effects in pro-social behavior
2024-08-30 13:19:19.093 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for The importance of intrinsic and exrinsic motivation for measuring IQ
2024-08-30 13:19:20.802 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Revised version published in American Economic Journal: Economic Policy, 2018, 10 (1)
2024-08-30 13:19:22.242 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Can small incentives have large effects? The impact of taxes versus bonuses on disposable bag use
2024-08-30 13:19:23.696 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Employees' reaction to gender pay transparency: an online experiment
2024-08-30 13:19:24.296 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Impact of culture on work motivation: Case of Bosnia and Herzegovina
2024-08-30 13:19:26.856 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for PERFORMANCE MANAGEMENT OF ACADEMIC STAFF ON THE EXAMPLE OF THE FACULTIES OF ECONOMICS IN UNIVERSITY OF TARTU AND IN TALLINN …
2024-08-30 13:19:28.592 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Organisational form and individual motivation: public ownership, privatisation and fat cats
2024-08-30 13:19:30.915 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Performance Management of Academic Staff on the Example of the Faculties of Economics in University of Tartu and in Tallinn University of Technology
2024-08-30 13:19:32.045 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Guide to reform of higher education: a European perspective
2024-08-30 13:19:32.745 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Using Technology to Promote Participation in Emerging Democracies: VIP: Voice and the 2014 South African Election
2024-08-30 13:19:33.233 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Asymmetric incentives in subsidies: Evidence from a large-scale electricity rebate program
2024-08-30 13:19:34.265 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Public policy for a knowledge economy
2024-08-30 13:19:37.848 | DEBUG    | scholar_wizard.search.utils:search_google_scholar:100 - Downloading PDF for Tax simplification and tax compliance: An economic perspective
